# SAT(MJD)        RM     RMerr_minus RMerr_plus
59347.1777001567 -596.83 0.48 0.53
59345.2509388925 -587.53 1.07 1.01
59337.3094035778 -824.02 0.84 0.84
59331.2675754242 -683.20 2.01 2.18
59331.3225330987 -698.84 2.64 3.35
59328.3962304537 -529.21 0.36 0.36
59336.3728527134 -809.35 1.20 1.12
59334.2829084791 -705.43 0.28 0.26
59346.2860147660 -585.48 2.10 2.63
59347.3059020231 -592.38 1.40 1.46
59334.3231789043 -819.76 0.80 0.80
59336.2607804506 -800.38 2.54 2.43
59326.3408017216 -661.97 0.66 0.56
59331.3243747547 -724.08 1.70 1.78
59337.2547266623 -702.92 2.08 1.91
59345.2781247402 -588.54 0.26 0.26
59330.3338766896 -618.05 0.50 0.49
59336.2692278073 -817.60 1.10 1.06
59343.2101400367 -565.95 1.26 1.05
59334.2358724733 -806.46 0.24 0.24
59345.2879116550 -589.51 1.07 1.09
59336.3743365319 -883.96 0.41 1.20
59347.1777009268 -598.64 1.78 1.53
59348.3387854075 -596.92 0.44 0.47
59340.3030964609 -418.24 1.27 1.27
59329.4186026993 -588.97 0.96 0.94
59331.2708645771 -689.92 2.55 2.39
59336.3149338505 -876.06 0.86 0.89
59337.2578163809 -775.03 0.56 0.61
59330.3338770370 -641.49 0.54 0.42
59346.2904293554 -590.49 0.31 0.29
59348.2440317027 -596.72 1.51 2.23
59345.2890358510 -589.64 0.66 0.64
59349.2580239810 -598.17 0.31 0.28
59337.2177694674 -784.95 0.83 0.83
59347.1823107181 -592.69 0.71 0.68
59348.1976374516 -593.40 0.65 0.65
59337.3104906879 -775.69 0.57 0.57
59336.3172168110 -889.46 0.71 0.75
59350.2588345362 -587.61 1.80 1.93
59339.3236732479 -650.13 2.98 3.85
59347.1848955250 -592.44 0.54 0.58
59331.2718399608 -649.09 2.31 2.53
59348.2034737919 -594.89 0.33 0.31
59337.2621165308 -700.66 0.51 0.52
59346.2925944751 -584.93 1.39 1.50
59341.2495449885 -481.64 2.64 2.47
59340.1993717715 -417.58 2.14 2.09
59338.2921341718 -634.56 0.18 0.18
59337.3340382748 -699.87 0.26 0.27
59348.3404879670 -594.99 0.66 0.72
59329.4293341769 -580.67 0.35 0.31
59347.2275366751 -586.53 0.81 0.84
59346.3078476474 -591.83 3.34 3.64
59336.3204285046 -848.68 1.33 1.28
59337.2205906427 -780.04 0.90 0.77
59341.2941800557 -553.91 0.86 0.90
59349.2603868211 -595.98 0.54 0.50
59334.3243333879 -842.42 0.60 0.63
59348.2041664026 -595.64 0.32 0.43
59331.2744450940 -711.92 0.60 0.62
59340.2316041148 -413.58 0.87 0.61
59350.3183699606 -590.60 1.30 1.24
59331.3260845183 -650.32 1.90 1.73
59338.3847866480 -690.22 0.61 0.63
59336.3206517836 -838.07 0.70 0.79
59337.2625708181 -779.19 0.77 0.79
59341.2986839298 -517.38 2.14 1.48
59343.2101403367 -566.61 2.22 2.19
59351.2114997867 -588.10 2.06 1.88
59334.3251825806 -779.23 1.88 1.75
59337.3341627605 -738.67 0.33 0.36
59348.2769076490 -596.52 0.16 1.64
59352.2951373998 -594.86 0.37 0.35
59345.3229954880 -593.76 1.55 1.09
59350.3205007490 -590.13 0.16 0.16
59341.3005709196 -545.86 1.75 1.69
59352.3617799594 -593.18 1.85 1.79
59346.3092504595 -587.35 0.21 0.97
59343.2563536361 -573.09 0.48 0.42
59349.3100613923 -598.54 1.84 1.77
59330.3349251762 -643.73 2.74 2.25
59350.2589222634 -588.00 2.15 2.35
59337.3355325977 -705.80 0.89 0.93
59351.2775243725 -600.74 0.92 0.93
